Temps,Temperature,Frequency,Cpu_usage,Cpu_memory
1699359086.848,47.712,1800.0,0.0,8.4
1699359086.856,47.712,1800.0,25.0,8.4
1699359086.864,47.712,1800.0,0.0,8.4
1699359086.871,47.712,1800.0,33.3,8.4
1699359086.879,47.712,1800.0,0.0,8.4
1699359086.886,47.712,1800.0,25.0,8.4
1699359086.894,47.712,1800.0,33.3,8.4
1699359086.902,47.712,1800.0,33.3,8.4
1699359086.909,47.712,1800.0,33.3,8.4
1699359086.917,47.225,1800.0,25.0,8.4
1699359086.924,47.225,1800.0,33.3,8.4
1699359086.932,47.225,1800.0,0.0,8.4
1699359086.94,47.712,1800.0,33.3,8.4
1699359086.947,47.712,1800.0,25.0,8.4
1699359086.955,47.712,1800.0,33.3,8.4
1699359086.963,47.225,1800.0,33.3,8.4
1699359086.97,47.225,1800.0,0.0,8.4
1699359086.978,47.225,1800.0,25.0,8.4
1699359086.986,47.225,1800.0,33.3,8.4
1699359086.993,47.225,1800.0,0.0,8.4
1699359087.001,47.225,1800.0,25.0,8.4
1699359087.009,47.225,1800.0,33.3,8.4
1699359087.017,47.225,1800.0,33.3,8.4
1699359087.025,47.712,1800.0,25.0,8.4
1699359087.033,47.712,1800.0,33.3,8.4
1699359087.04,47.712,1800.0,0.0,8.4
1699359087.048,46.738,1800.0,50.0,8.4
1699359087.056,46.738,1800.0,25.0,8.4
1699359087.064,46.738,1800.0,0.0,8.4
1699359087.071,46.738,1800.0,33.3,8.4
1699359087.079,46.738,1800.0,25.0,8.4
1699359087.087,46.738,1800.0,33.3,8.4
1699359087.095,47.225,1800.0,0.0,8.4
1699359087.103,47.225,1800.0,25.0,8.4
1699359087.111,47.225,1800.0,0.0,8.4
1699359087.119,46.738,1800.0,33.3,8.4
1699359087.127,46.738,1800.0,40.0,8.4
1699359087.135,47.225,1800.0,0.0,8.4
1699359087.143,47.225,1800.0,33.3,8.4
1699359087.151,47.225,1800.0,25.0,8.4
1699359087.159,48.199,1800.0,0.0,8.4
1699359087.167,48.199,1800.0,25.0,8.4
1699359087.175,48.199,1800.0,33.3,8.4
1699359087.183,47.712,1800.0,0.0,8.4
1699359087.191,47.712,1800.0,25.0,8.4
1699359087.199,47.712,1800.0,33.3,8.4
1699359087.207,47.712,1800.0,50.0,8.4
1699359087.215,47.712,1800.0,25.0,8.4
1699359087.223,47.712,1800.0,0.0,8.4
1699359087.231,47.712,1800.0,33.3,8.4
1699359087.239,47.712,1800.0,25.0,8.4
1699359087.247,48.199,1800.0,33.3,8.4
1699359087.255,48.199,1800.0,25.0,8.4
1699359087.263,48.199,1800.0,0.0,8.4
1699359087.272,47.225,1800.0,33.3,8.4
1699359087.28,47.225,1800.0,25.0,8.4
1699359087.288,47.225,1800.0,33.3,8.4
1699359087.296,48.199,1800.0,0.0,8.4
1699359087.304,48.199,1800.0,25.0,8.4
1699359087.312,47.225,1800.0,33.3,8.4
1699359087.32,47.225,1800.0,25.0,8.4
1699359087.328,47.225,1800.0,0.0,8.4
1699359087.337,47.712,1800.0,33.3,8.4
1699359087.345,47.712,1800.0,40.0,8.4
1699359087.353,47.712,1800.0,33.3,8.4
1699359087.361,47.712,1800.0,25.0,8.4
1699359087.369,47.712,1800.0,0.0,8.4
1699359087.378,47.712,1800.0,25.0,8.4
1699359087.386,47.712,1800.0,33.3,8.4
1699359087.394,47.712,1800.0,33.3,8.4
1699359087.402,46.738,1800.0,25.0,8.4
1699359087.411,46.738,1800.0,0.0,8.4
1699359087.419,46.738,1800.0,25.0,8.4
1699359087.427,48.199,1800.0,33.3,8.4
1699359087.435,48.199,1800.0,25.0,8.4
1699359087.444,47.712,1800.0,50.0,8.4
1699359087.452,47.712,1800.0,0.0,8.4
1699359087.46,47.712,1800.0,25.0,8.4
1699359087.468,47.712,1800.0,0.0,8.4
1699359087.477,47.712,1800.0,40.0,8.4
1699359087.485,47.712,1800.0,33.3,8.4
1699359087.493,47.225,1800.0,33.3,8.4
1699359087.502,47.225,1800.0,0.0,8.4
1699359087.511,48.199,1800.0,33.3,8.4
1699359087.519,48.199,1800.0,25.0,8.4
1699359087.527,48.199,1800.0,33.3,8.4
1699359087.536,47.712,1800.0,25.0,8.4
1699359087.544,47.712,1800.0,33.3,8.4
1699359087.552,48.199,1800.0,25.0,8.4
1699359087.561,48.199,1800.0,0.0,8.4
1699359087.569,48.199,1800.0,25.0,8.4
1699359087.577,48.199,1800.0,33.3,8.4
1699359087.586,48.199,1800.0,0.0,8.4
1699359087.594,48.199,1800.0,25.0,8.4
1699359087.603,47.712,1800.0,33.3,8.4
1699359087.612,47.712,1800.0,40.0,8.4
1699359087.62,47.712,1800.0,0.0,8.4
1699359087.629,47.712,1800.0,25.0,8.4
1699359087.638,47.712,1800.0,25.0,8.4
1699359087.646,47.225,1800.0,33.3,8.4
1699359087.655,47.225,1800.0,0.0,8.4
