Temps,Temperature,Frequency,Cpu_usage,Cpu_memory
1699352699.372,46.251,1800.0,19.2,10.2
1699352699.874,46.251,1800.0,0.0,10.2
1699352700.377,46.251,1800.0,0.5,10.2
1699352700.879,46.738,1800.0,0.0,10.2
1699352701.381,47.225,1800.0,0.5,10.2
1699352701.884,46.251,1800.0,0.0,10.2
1699352702.386,46.251,1800.0,0.0,10.2
1699352702.888,45.764,1800.0,0.5,10.2
1699352703.391,45.764,1800.0,0.0,10.2
1699352703.896,45.764,600.0,1.5,10.2
1699352704.399,47.712,1800.0,12.5,9.7
1699352704.902,47.225,1800.0,35.1,10.1
1699352705.405,47.225,1800.0,1.0,10.2
1699352705.907,46.738,1800.0,0.0,10.2
1699352706.41,46.738,1800.0,0.0,10.2
1699352706.912,47.712,1800.0,0.5,10.2
1699352707.415,46.251,1800.0,0.0,10.2
1699352707.917,46.738,1800.0,0.0,10.2
1699352708.419,46.251,1800.0,0.0,10.2
1699352708.922,46.251,1800.0,0.5,10.2
1699352709.427,45.764,700.0,0.5,10.2
1699352709.932,46.738,600.0,0.0,10.2
1699352710.435,48.199,1800.0,21.9,10.0
1699352710.938,47.225,1800.0,25.0,10.2
1699352711.44,47.225,1800.0,0.0,10.2
1699352711.943,47.712,1800.0,0.0,10.2
1699352712.445,46.738,1800.0,0.5,10.2
1699352712.948,46.251,1800.0,0.0,10.2
1699352713.45,46.251,1800.0,0.0,10.2
1699352713.953,46.738,1800.0,1.5,10.2
1699352714.455,46.251,1800.0,0.0,10.2
1699352714.957,46.738,1800.0,0.0,10.2
1699352715.462,47.225,600.0,0.5,10.2
1699352715.966,46.738,900.0,6.9,9.2
1699352716.47,47.712,1800.0,24.9,10.1
1699352716.973,46.251,1800.0,18.4,10.3
1699352717.475,46.251,1800.0,0.0,10.3
1699352717.978,45.764,1800.0,0.5,10.3
1699352718.48,46.738,1800.0,0.5,10.3
1699352718.982,46.251,1800.0,0.5,10.3
1699352719.485,46.738,1800.0,0.5,10.3
1699352719.987,46.251,1800.0,0.0,10.3
1699352720.489,45.764,1800.0,0.0,10.3
1699352720.991,45.764,1800.0,0.5,10.3
1699352721.497,46.738,600.0,0.0,10.3
1699352721.999,46.738,1800.0,15.0,9.9
1699352722.502,47.225,1800.0,33.0,10.2
1699352723.005,47.225,1800.0,0.5,10.2
1699352723.507,46.738,1800.0,1.0,10.2
1699352724.009,46.738,1800.0,0.5,10.2
