Temps,Luminosite
1697148002,4095
1697148003,4095
1697148003,4095
1697148004,4095
1697148004,4095
1697148005,4095
1697148005,4095
1697148006,4095
1697148006,4095
1697148007,4095
1697148007,4095
1697148008,4095
1697148008,4095
1697148009,4095
1697148009,4095
1697148010,4095
1697148010,4095
1697148011,4095
1697148011,4095
1697148012,4095
1697148012,4095
1697148013,4095
1697148013,4095
1697148014,4095
1697148014,4095
1697148015,4095
1697148015,4095
1697148016,4095
1697148016,4095
1697148017,4095
1697148017,4095
1697148018,4095
1697148018,4095
1697148019,4095
1697148019,4095
1697148020,4095
1697148020,4095
1697148021,4095
1697148021,4095
1697148022,4095
1697148022,4095
1697148023,4095
1697148023,4095
1697148024,4095
1697148024,4095
1697148025,4095
1697148025,4095
1697148026,4095
1697148026,4095
1697148027,4095
1697148027,4095
1697148028,4095
1697148028,4095
1697148029,4095
1697148029,4095
1697148030,4095
1697148030,4095
1697148031,4095
1697148031,4095
1697148032,4095
1697148032,4095
1697148033,4095
1697148033,4095
1697148034,4095
1697148034,4095
1697148035,4095
1697148035,4095
1697148036,4095
1697148036,4095
1697148037,4095
1697148037,4095
1697148038,4095
1697148038,4095
1697148039,4095
1697148039,4095
1697148040,4095
1697148040,4095
1697148041,4095
1697148041,4095
1697148042,4095
1697148042,4095
1697148043,4095
1697148043,4095
1697148044,4095
1697148044,4095
1697148045,4095
1697148045,4095
1697148046,4095
1697148046,4095
1697148047,4095
1697148047,4095
1697148048,4095
1697148048,4095
1697148049,4095
1697148049,4095
1697148050,4095
1697148050,4095
1697148051,4095
1697148051,4095
1697148052,4095
1697148052,4095
1697148053,4095
1697148053,4095
1697148054,4095
1697148054,4095
1697148055,4095
1697148055,4095
1697148056,4095
1697148056,4095
1697148057,4095
1697148057,4095
1697148058,4095
1697148058,4095
1697148059,4095
1697148059,4095
1697148060,4095
1697148060,4095
1697148061,4095
1697148061,4095
1697148062,4095
1697148062,4095
1697148063,4095
1697148063,4095
1697148064,4095
1697148064,4095
1697148065,4095
1697148065,4095
1697148066,4095
1697148066,4095
1697148067,4095
1697148067,4095
1697148068,4095
1697148068,4095
1697148069,4095
1697148069,4095
1697148070,4095
1697148070,4095
1697148071,4095
1697148071,4095
1697148072,4095
1697148072,4095
1697148073,4095
1697148073,4095
1697148074,4095
1697148074,4095
1697148075,4095
1697148075,4095
1697148076,4095
1697148076,4095
1697148077,4095
1697148077,4095
1697148078,4095
1697148078,4095
1697148079,4095
1697148079,4095
1697148080,4095
1697148080,4095
1697148081,4095
1697148081,4095
1697148082,4095
1697148082,4095
1697148083,4095
1697148083,4095
1697148084,4095
1697148084,4095
1697148085,4095
1697148085,4095
1697148086,4095
1697148086,4095
1697148087,4095
1697148087,4095
1697148088,4095
1697148088,4095
1697148089,4095
1697148089,4095
1697148090,4095
1697148090,4095
1697148091,4095
1697148091,4095
1697148092,4095
1697148092,4095
1697148093,4095
1697148093,4095
1697148094,4095
1697148094,4095
1697148095,4095
1697148095,4095
1697148096,4095
1697148096,4095
1697148097,4095
1697148097,4095
1697148098,4095
1697148098,4095
1697148099,4095
1697148099,4095
1697148100,4095
1697148100,4095
1697148101,4095
1697148101,4095
1697148102,4095
1697148102,4095
1697148103,4095
1697148103,4095
1697148104,4095
1697148104,4095
1697148105,4095
1697148105,4095
1697148106,4095
1697148106,4095
1697148107,4095
1697148107,4095
1697148108,4095
1697148108,4095
1697148109,4095
1697148109,4095
1697148110,4095
1697148110,4095
1697148111,4095
1697148111,4095
1697148112,4095
1697148112,4095
1697148113,4095
1697148113,4095
1697148114,4095
1697148114,4095
1697148115,4095
1697148115,4095
1697148117,4095
1697148117,4095
1697148117,4095
1697148117,4095
1697148118,4095
1697148118,4095
1697148119,4095
1697148119,4095
1697148120,4095
1697148120,4095
1697148121,4095
1697148121,4095
1697148122,4095
1697148122,4095
1697148123,4095
1697148123,4095
1697148124,4095
1697148124,4095
1697148125,4095
1697148125,4095
1697148126,4095
1697148126,4095
1697148127,4095
1697148127,4095
1697148128,4095
1697148128,4095
1697148129,4095
1697148129,4095
1697148130,4095
1697148130,4095
1697148131,4095
1697148131,4095
1697148132,4095
1697148132,4095
1697148133,4095
1697148133,4095
1697148134,4095
1697148134,4095
1697148135,4095
1697148135,4095
1697148136,4095
1697148136,4095
1697148137,4095
1697148137,4095
1697148138,4095
1697148138,4095
1697148139,4095
1697148139,4095
1697148140,4095
1697148140,4095
1697148141,4095
1697148141,4095
1697148142,4095
1697148142,4095
1697148143,4095
1697148143,4095
1697148144,4095
1697148144,4095
1697148145,4095
1697148145,4095
1697148146,4095
1697148146,4095
1697148147,4095
1697148147,4095
1697148148,4095
1697148148,4095
1697148149,4095
1697148149,4095
1697148151,4095
1697148151,4095
1697148151,4095
1697148151,4095
1697148152,4095
1697148152,4095
1697148153,4095
1697148153,4095
1697148154,4095
1697148154,4095
1697148155,4095
1697148155,4095
1697148156,4095
1697148156,4095
1697148157,4095
1697148157,4095
1697148158,4095
1697148158,4095
1697148159,4095
1697148159,4095
1697148160,4095
1697148160,4095
1697148161,4095
1697148161,4095
1697148162,4095
1697148162,4095
1697148163,4095
1697148163,4095
