Temps,Temperature,Frequency,Cpu_usage,Cpu_memory,Cluster
1697139059.945,46.251,900.0,7.9,10.2,cluster0
1697139060.449,46.251,1800.0,13.1,9.6,cluster0
1697139060.954,47.225,1800.0,36.3,10.1,cluster0
1697139061.456,46.251,1800.0,13.0,10.2,cluster0
1697139061.959,47.225,1800.0,4.5,10.2,cluster0
1697139062.462,46.738,1800.0,4.0,10.2,cluster0
1697139062.964,46.738,1800.0,4.9,10.2,cluster0
1697139063.467,45.764,1800.0,2.5,10.2,cluster0
1697139063.969,45.764,1800.0,2.5,10.2,cluster0
1697139064.472,45.764,1800.0,1.5,10.2,cluster0
1697139064.974,45.764,1800.0,6.4,10.2,cluster0
1697139065.479,47.225,700.0,4.5,10.2,cluster0
1697139065.982,45.764,1800.0,5.5,10.3,cluster0
1697139066.485,45.277,1800.0,5.9,10.1,cluster0
1697139066.988,46.251,1800.0,28.5,9.9,cluster0
1697139067.491,47.225,1800.0,21.0,10.1,cluster0
1697139067.993,45.764,1800.0,4.5,10.1,cluster0
1697139068.496,46.251,1800.0,3.5,10.2,cluster0
1697139068.999,45.764,1800.0,5.0,10.2,cluster0
1697139069.501,45.764,1800.0,2.5,10.2,cluster0
1697139070.004,46.251,1800.0,4.5,10.2,cluster0
1697139070.506,46.251,1800.0,2.5,10.2,cluster0
1697139071.012,46.251,600.0,3.5,10.2,cluster0
1697139071.516,45.764,900.0,4.0,10.2,cluster0
1697139072.019,46.251,1800.0,8.0,10.2,cluster0
1697139072.521,45.277,1800.0,5.0,10.2,cluster0
1697139073.025,47.225,1800.0,25.7,9.9,cluster0
1697139073.528,47.225,1800.0,27.0,10.2,cluster0
1697139074.031,46.738,1800.0,4.9,10.2,cluster0
1697139074.533,46.738,1800.0,5.0,10.2,cluster0
1697139075.036,46.251,1800.0,4.0,10.2,cluster0
1697139075.539,46.738,1800.0,4.0,10.2,cluster0
1697139076.041,46.251,1800.0,3.5,10.2,cluster0
1697139076.544,46.251,1800.0,6.4,10.2,cluster0
1697139077.048,46.738,900.0,6.5,10.2,cluster0
1697139077.552,46.251,800.0,5.0,10.2,cluster0
1697139078.056,46.251,900.0,7.0,10.2,cluster0
1697139078.561,46.251,900.0,5.9,10.2,cluster0
1697139079.063,46.738,1800.0,23.0,9.9,cluster0
1697139079.566,46.738,1800.0,35.2,10.2,cluster0
1697139080.069,46.738,1800.0,4.5,10.2,cluster0
1697139080.571,46.738,1800.0,4.5,10.2,cluster0
1697139081.074,46.738,1800.0,3.5,10.2,cluster0
1697139081.576,45.764,1800.0,3.5,10.2,cluster0
1697139082.079,46.738,1800.0,3.5,10.2,cluster0
1697139082.582,46.251,1800.0,5.4,10.2,cluster0
1697139083.084,46.738,1800.0,5.0,10.2,cluster0
1697139083.587,46.738,1800.0,4.4,10.2,cluster0
1697139084.091,45.764,800.0,4.0,10.2,cluster0
1697139084.596,47.225,750.0,4.5,10.3,cluster0
1697139085.099,47.225,1800.0,27.4,9.9,cluster0
1697139085.602,46.738,1800.0,29.1,10.2,cluster0
1697139086.104,47.225,1800.0,4.0,10.2,cluster0
1697139086.607,47.225,1800.0,5.4,10.2,cluster0
1697139087.11,46.251,1800.0,4.0,10.3,cluster0
1697139087.612,47.225,1800.0,5.0,10.3,cluster0
1697139088.115,46.251,1800.0,3.5,10.3,cluster0
1697139088.617,46.738,1800.0,5.4,10.3,cluster0
1697139089.12,46.251,1800.0,5.4,10.3,cluster0
1697139089.622,46.251,1800.0,4.0,10.3,cluster0
1697139090.128,46.738,600.0,4.5,10.3,cluster0
1697139090.632,45.764,1800.0,7.0,10.1,cluster0
1697139091.135,48.199,1800.0,30.0,10.0,cluster0
1697139091.638,47.225,1800.0,23.0,10.2,cluster0
1697139092.14,46.251,1800.0,4.5,10.2,cluster0
1697139092.643,47.225,1800.0,4.5,10.2,cluster0
1697139093.145,46.738,1800.0,4.0,10.2,cluster0
1697139093.648,47.225,1800.0,5.0,10.2,cluster0
1697139094.151,46.738,1800.0,4.5,10.2,cluster0
1697139094.653,46.738,1800.0,4.0,10.2,cluster0
1697139095.156,47.712,1800.0,4.5,10.2,cluster0
1697139095.661,46.251,600.0,4.5,10.2,cluster0
1697139096.166,46.251,800.0,5.4,10.3,cluster0
1697139096.669,46.738,1800.0,11.4,10.3,cluster0
1697139097.172,47.225,1800.0,25.4,9.9,cluster0
1697139097.675,47.712,1800.0,26.0,10.2,cluster0
1697139098.178,46.738,1800.0,2.5,10.2,cluster0
1697139098.68,47.225,1800.0,4.5,10.2,cluster0
1697139099.183,47.225,1800.0,5.4,10.2,cluster0
1697139099.685,46.738,1800.0,4.0,10.2,cluster0
1697139100.188,45.764,1800.0,3.5,10.2,cluster0
1697139100.691,46.251,1800.0,4.5,10.2,cluster0
1697139101.193,46.251,1800.0,5.0,10.2,cluster0
1697139101.698,46.738,800.0,5.5,10.2,cluster0
1697139102.203,46.738,700.0,4.5,10.2,cluster0
1697139102.706,46.251,1800.0,10.0,9.1,cluster0
1697139103.212,47.225,1800.0,28.9,10.0,cluster0
1697139103.715,46.251,1800.0,20.0,10.2,cluster0
1697139104.217,46.738,1800.0,4.0,10.2,cluster0
1697139104.72,47.225,1800.0,3.0,10.2,cluster0
1697139105.222,46.251,1800.0,4.9,10.2,cluster0
1697139105.725,46.738,1800.0,4.5,10.2,cluster0
1697139106.227,47.225,1800.0,3.5,10.2,cluster0
1697139106.73,46.251,1800.0,5.0,10.2,cluster0
1697139107.233,46.738,1800.0,4.0,10.2,cluster0
1697139107.737,47.225,700.0,3.5,10.2,cluster0
1697139108.243,45.764,600.0,5.0,10.2,cluster0
1697139108.746,46.738,1800.0,16.4,9.8,cluster0
1697139109.249,48.686,1800.0,37.5,10.2,cluster0
1697139109.751,45.764,1800.0,6.9,10.2,cluster0
1697139110.254,47.712,1800.0,3.0,10.2,cluster0
1697139110.757,47.225,1800.0,3.0,10.2,cluster0
1697139111.259,47.225,1800.0,4.0,10.2,cluster0
1697139111.762,46.738,1800.0,3.5,10.2,cluster0
1697139112.264,46.738,1800.0,3.5,10.2,cluster0
1697139112.767,47.225,1800.0,3.0,10.2,cluster0
1697139113.269,47.225,1800.0,5.0,10.2,cluster0
1697139113.774,46.251,700.0,4.4,10.2,cluster0
1697139114.28,47.225,700.0,5.4,10.2,cluster0
1697139114.783,46.738,1800.0,8.5,9.8,cluster0
1697139115.289,47.712,1800.0,31.4,10.1,cluster0
1697139115.791,46.738,1800.0,21.6,10.3,cluster0
1697139116.294,47.712,1800.0,4.5,10.3,cluster0
1697139116.797,48.199,1800.0,5.0,10.3,cluster0
1697139117.299,46.738,1800.0,5.0,10.3,cluster0
1697139117.802,46.251,1800.0,4.5,10.3,cluster0
1697139118.304,46.251,1800.0,4.5,10.3,cluster0
1697139118.807,46.738,1800.0,4.5,10.3,cluster0
1697139119.31,46.738,1800.0,5.5,10.3,cluster0
1697139119.814,46.738,800.0,3.5,10.3,cluster0
1697139120.32,47.712,600.0,5.0,10.3,cluster0
1697139120.826,46.251,600.0,5.9,10.3,cluster0
1697139121.329,48.199,1800.0,28.2,10.0,cluster0
1697139121.831,47.712,1800.0,29.7,10.2,cluster0
1697139122.334,47.225,1800.0,4.5,10.2,cluster0
1697139122.836,47.225,1800.0,4.5,10.2,cluster0
1697139123.339,47.712,1800.0,4.0,10.2,cluster0
1697139123.842,47.712,1800.0,5.4,10.2,cluster0
1697139124.344,47.225,1800.0,3.5,10.2,cluster0
1697139124.847,46.738,1800.0,3.5,10.2,cluster0
1697139125.35,47.225,1800.0,4.4,10.3,cluster0
1697139125.852,46.251,1800.0,4.5,10.3,cluster0
1697139126.357,46.738,700.0,5.9,10.3,cluster0
1697139126.864,46.738,600.0,8.9,10.1,cluster0
1697139127.367,48.686,1800.0,29.5,10.1,cluster0
1697139127.869,47.712,1800.0,22.0,10.2,cluster0
1697139128.372,46.738,1800.0,4.0,10.2,cluster0
1697139128.874,47.712,1800.0,4.0,10.2,cluster0
1697139129.377,47.225,1800.0,4.0,10.2,cluster0
1697139129.879,46.251,1800.0,4.5,10.3,cluster0
1697139130.382,48.199,1800.0,4.5,10.3,cluster0
1697139130.885,46.738,1800.0,3.5,10.3,cluster0
1697139131.387,46.738,1800.0,3.5,10.3,cluster0
1697139131.892,46.738,800.0,6.9,10.3,cluster0
1697139132.395,47.225,1000.0,5.5,10.3,cluster0
1697139132.9,47.225,900.0,5.5,10.3,cluster0
1697139133.403,47.225,1800.0,26.1,9.9,cluster0
1697139133.906,48.199,1800.0,31.0,10.2,cluster0
1697139134.408,47.712,1800.0,3.5,10.2,cluster0
1697139134.911,47.712,1800.0,6.0,10.2,cluster0
1697139135.414,47.225,1800.0,4.9,10.2,cluster0
1697139135.916,47.225,1800.0,3.5,10.2,cluster0
1697139136.419,46.738,1800.0,5.4,10.2,cluster0
1697139136.921,47.712,1800.0,4.0,10.3,cluster0
1697139137.424,46.738,1800.0,4.9,10.3,cluster0
1697139137.926,46.738,1800.0,4.0,10.3,cluster0
1697139138.431,47.712,800.0,5.9,10.3,cluster0
1697139138.935,47.225,900.0,5.9,10.2,cluster0
1697139139.438,46.738,1800.0,28.5,10.1,cluster0
1697139139.94,47.225,1800.0,23.5,10.2,cluster0
1697139140.443,47.712,1800.0,4.5,10.2,cluster0
1697139140.946,47.225,1800.0,4.5,10.2,cluster0
1697139141.448,46.738,1800.0,4.5,10.2,cluster0
1697139141.951,47.712,1800.0,4.5,10.2,cluster0
1697139142.453,47.225,1800.0,4.0,10.3,cluster0
1697139142.956,47.225,1800.0,5.4,10.3,cluster0
1697139143.459,47.225,1800.0,5.0,10.3,cluster0
1697139143.961,47.225,1800.0,4.0,10.3,cluster0
1697139144.465,46.738,1000.0,6.4,10.3,cluster0
1697139144.967,48.199,1800.0,13.6,9.7,cluster0
1697139145.471,49.173,1800.0,36.3,10.2,cluster0
1697139145.974,47.225,1800.0,9.9,10.3,cluster0
1697139146.477,47.225,1800.0,4.0,10.3,cluster0
1697139146.979,48.199,1800.0,5.0,10.3,cluster0
1697139147.482,47.225,1800.0,4.0,10.3,cluster0
1697139147.984,47.225,1800.0,4.0,10.3,cluster0
1697139148.487,46.738,1800.0,4.0,10.3,cluster0
1697139148.989,47.712,1800.0,4.0,10.3,cluster0
1697139149.492,46.738,1800.0,4.5,10.3,cluster0
1697139149.997,47.225,700.0,3.5,10.3,cluster0
1697139150.501,47.225,1000.0,4.5,10.3,cluster0
1697139151.005,48.199,800.0,6.4,10.2,cluster0
1697139151.508,47.712,1800.0,28.0,10.0,cluster0
1697139152.011,46.738,1800.0,20.6,10.2,cluster0
1697139152.514,47.712,1800.0,3.0,10.2,cluster0
1697139153.016,47.712,1800.0,15.5,10.2,cluster0
1697139153.519,47.712,1800.0,4.5,10.2,cluster0
1697139154.021,47.225,1800.0,3.5,10.2,cluster0
1697139154.524,48.199,1800.0,5.0,10.2,cluster0
1697139155.027,47.225,1800.0,4.0,10.2,cluster0
1697139155.529,46.738,1800.0,4.9,10.2,cluster0
1697139156.032,47.225,1800.0,5.5,10.2,cluster0
1697139156.535,47.225,1800.0,9.4,10.2,cluster0
1697139157.038,47.225,1800.0,3.0,10.2,cluster0
1697139157.542,47.225,1800.0,25.9,9.9,cluster0
1697139158.044,47.712,1800.0,29.0,10.1,cluster0
1697139158.547,47.225,1800.0,5.0,10.1,cluster0
1697139159.05,48.199,1800.0,5.0,10.1,cluster0
1697139159.552,47.225,1800.0,5.0,10.2,cluster0
1697139160.055,48.686,1800.0,6.0,10.2,cluster0
1697139160.557,47.225,1800.0,4.0,10.2,cluster0
1697139161.06,48.199,1800.0,4.5,10.2,cluster0
1697139161.563,46.738,1200.0,6.5,10.2,cluster0
1697139162.068,46.738,800.0,6.4,10.2,cluster0
1697139162.572,46.251,800.0,4.0,10.2,cluster0
1697139163.078,47.712,700.0,8.4,9.8,cluster0
1697139163.581,48.199,1800.0,31.0,10.1,cluster0
1697139164.084,47.225,1800.0,23.9,10.2,cluster0
1697139164.586,47.225,1800.0,4.5,10.2,cluster0
