Temps,Temperature,Frequency,Cpu_usage,Cpu_memory,Classe
1697490097.707,46.251,1800.0,2.0,10.3,normal
1697490098.21,44.79,1800.0,4.5,10.3,normal
1697490098.713,44.79,1800.0,2.5,10.3,normal
1697490099.215,46.738,1800.0,3.5,10.3,normal
1697490099.718,44.79,1800.0,4.0,10.3,normal
1697490100.224,44.79,600.0,3.4,10.3,normal
1697490100.731,44.79,600.0,6.9,10.3,normal
1697490101.234,43.816,1800.0,8.5,10.3,normal
1697490101.736,45.277,1800.0,9.0,9.6,normal
1697490102.24,45.277,1800.0,34.0,10.2,normal
1697490102.743,45.764,1800.0,11.9,10.3,normal
1697490103.246,45.764,1800.0,4.5,10.3,normal
1697490103.748,44.79,1800.0,4.0,10.3,normal
1697490104.251,45.277,1800.0,3.5,10.3,normal
1697490104.753,45.277,1800.0,3.0,10.3,normal
1697490105.256,45.277,1800.0,3.0,10.3,normal
1697490105.758,45.764,1800.0,3.0,10.3,normal
1697490106.263,45.277,700.0,2.0,10.3,normal
1697490106.769,45.277,600.0,2.5,10.3,normal
1697490107.272,44.303,1800.0,6.9,10.3,normal
1697490107.775,46.251,1800.0,16.4,9.9,normal
1697490108.281,45.277,1800.0,35.1,10.3,normal
1697490108.783,44.303,1800.0,5.0,10.3,normal
1697490109.286,44.79,1800.0,2.5,10.3,normal
1697490109.789,44.303,1800.0,2.0,10.3,normal
1697490110.291,43.816,1800.0,4.5,10.3,normal
1697490110.794,45.277,1800.0,4.0,10.3,normal
1697490111.296,45.277,1800.0,3.5,10.3,normal
1697490111.799,45.277,1800.0,3.5,10.3,normal
1697490112.304,44.79,700.0,5.0,10.3,normal
1697490112.809,45.277,600.0,5.4,10.3,normal
1697490113.315,44.79,600.0,5.9,10.3,normal
1697490113.819,44.79,1800.0,23.6,10.0,normal
1697490114.322,46.738,1800.0,30.0,10.3,normal
1697490114.825,45.764,1800.0,4.5,10.3,normal
1697490115.327,45.277,1800.0,3.0,10.3,normal
1697490115.83,45.277,1800.0,3.0,10.3,normal
1697490116.333,46.738,1800.0,4.5,10.3,normal
1697490116.835,43.816,1800.0,4.0,10.3,normal
1697490117.338,44.79,1800.0,4.5,10.3,normal
1697490117.84,44.303,1800.0,3.0,10.3,normal
1697490118.343,45.277,1800.0,5.4,10.3,normal
1697490118.847,44.303,900.0,4.5,10.3,normal
1697490119.356,45.277,1000.0,6.3,10.3,normal
1697490119.859,44.79,1800.0,16.9,9.8,normal
1697490120.362,45.764,1800.0,36.5,10.3,normal
1697490120.864,45.764,1800.0,3.5,10.3,normal
1697490121.367,45.277,1800.0,5.0,10.3,normal
1697490121.869,45.277,1800.0,3.0,10.3,normal
1697490122.372,45.277,1800.0,4.0,10.3,normal
1697490122.874,45.277,1800.0,3.0,10.3,normal
1697490123.377,45.277,1800.0,5.0,10.3,normal
1697490123.88,45.764,1800.0,4.0,10.3,normal
1697490124.382,44.79,1800.0,3.5,10.3,normal
1697490124.886,44.79,900.0,5.5,10.3,normal
1697490125.391,45.764,800.0,5.0,10.3,normal
