Temps,Delay
1697454855916.0,7
1697454860917.0,7
1697454865922.0,6
1697454870927.0,6
1697454875929.0,7
1697454880935.0,7
1697454885937.0,6
1697454890938.0,7
1697454895941.0,7
1697454900946.0,7
1697454905943.0,3
1697454910951.0,6
1697454915954.0,7
1697454920955.0,7
1697454925960.0,7
1697454930965.0,7
1697454935967.0,7
1697454940972.0,7
1697454945974.0,7
1697454950973.0,6
1697454955977.0,6
1697454960982.0,6
1697454965984.0,7
1697454970989.0,7
1697454975991.0,7
1697454980992.0,6
1697454985997.0,6
1697454991002.0,6
1697454996005.0,7
1697455001009.0,6
1697455006012.0,7
1697455011011.0,6
1697455016015.0,7
1697455021020.0,7
1697455026022.0,7
1697455031027.0,7
1697455036029.0,7
1697455041030.0,6
1697455046036.0,7
1697455051043.0,9
1697455056043.0,7
1697455061048.0,7
1697455066050.0,7
1697455071049.0,6
1697455076053.0,7
1697455081057.0,6
1697455086059.0,7
1697455091064.0,6
1697455096066.0,6
1697455101069.0,7
1697455106073.0,6
1697455111079.0,7
1697455116080.0,7
1697455121084.0,6
1697455126087.0,7
1697455131087.0,6
1697455136091.0,6
1697455141097.0,7
1697455146098.0,6
1697455151103.0,6
1697455156106.0,7
1697455161108.0,7
1697455166112.0,6
1697455171117.0,6
1697455176119.0,7
1697455181124.0,7
1697455186126.0,6
1697455191127.0,7
1697455196130.0,6
1697455201134.0,5
1697455206137.0,6
1697455211143.0,6
1697455216146.0,7
1697455221147.0,6
1697455226152.0,6
1697455231158.0,7
1697455236159.0,6
1697455241165.0,7
1697455246167.0,6
1697455251168.0,7
1697455256171.0,7
1697455261174.0,5
1697455266177.0,6
1697455271182.0,6
1697455276185.0,7
1697455281186.0,7
1697455286191.0,7
1697455291196.0,7
1697455296198.0,7
1697455301203.0,7
1697455306205.0,6
1697455311205.0,6
1697455316209.0,7
1697455321213.0,6
1697455326215.0,6
1697455331221.0,6
1697455336224.0,7
1697455341225.0,6
1697455346229.0,6
1697455351231.0,3
1697455356236.0,6
1697455361242.0,7
1697455366243.0,7
1697455371242.0,6
1697455376247.0,7
1697455381252.0,7
1697455386256.0,9
1697455391258.0,6
1697455396261.0,6
1697455401263.0,6
1697455406269.0,7
1697455411273.0,6
1697455416276.0,7
1697455421281.0,6
1697455426283.0,6
1697455431283.0,6
1697455436287.0,6
1697455441292.0,7
1697455446294.0,7
1697455451299.0,7
1697455456301.0,6
1697455461304.0,7
1697455466309.0,7
1697455471313.0,6
1697455476315.0,6
1697455481321.0,7
1697455486323.0,7
1697455491323.0,6
1697455496326.0,6
1697455501331.0,6
1697455506334.0,7
1697455511338.0,6
1697455516341.0,7
1697455521342.0,6
1697455526347.0,6
1697455531352.0,6
1697455536355.0,7
1697455541361.0,8
1697455546362.0,6
1697455551363.0,6
1697455556365.0,6
1697455561371.0,7
1697455566372.0,6
1697455571378.0,7
1697455576381.0,7
1697455581383.0,7
1697455586388.0,6
1697455591393.0,6
1697455596396.0,7
1697455601401.0,6
1697455606404.0,6
1697455611405.0,6
1697455616409.0,6
1697455621414.0,6
1697455626417.0,7
1697455631421.0,6
1697455636424.0,7
1697455641426.0,7
1697455646431.0,7
1697455651436.0,6
1697455656439.0,7
1697455661443.0,6
1697455666446.0,6
1697455671447.0,7
1697455676450.0,6
1697455681456.0,6
1697455686457.0,6
1697455691462.0,6
1697455696466.0,7
1697455701468.0,7
1697455706473.0,7
1697455711477.0,6
1697455716480.0,7
1697455721485.0,6
1697455726487.0,6
1697455731488.0,7
1697455736491.0,6
1697455741496.0,6
1697455746498.0,6
1697455751503.0,6
1697455756506.0,7
1697455761507.0,6
1697455766513.0,6
1697455771518.0,7
1697455776519.0,6
1697455781524.0,6
1697455786527.0,7
1697455791527.0,7
1697455796530.0,6
1697455801535.0,6
1697455806537.0,6
1697455811543.0,6
1697455816546.0,7
1697455821548.0,7
1697455826553.0,7
1697455831558.0,6
1697455836560.0,6
1697455841565.0,6
1697455846568.0,7
1697455851568.0,7
1697455856571.0,6
1697455861577.0,7
1697455866579.0,7
1697455871584.0,7
1697455876586.0,7
1697455881588.0,7
1697455886593.0,7
1697455891598.0,7
1697455896599.0,6
1697455901605.0,7
1697455906607.0,6
1697455911607.0,6
1697455916611.0,6
1697455921616.0,6
1697455926619.0,7
1697455931624.0,7
1697455936627.0,7
1697455941629.0,6
1697455946635.0,7
1697455951640.0,7
1697455956642.0,7
1697455961647.0,7
1697455966649.0,6
1697455971649.0,6
1697455976653.0,6
1697455981659.0,7
1697455986660.0,6
1697455991665.0,6
1697455996668.0,7
1697456001670.0,7
1697456006675.0,7
1697456011677.0,6
1697456016680.0,7
1697456021684.0,6
1697456026688.0,7
1697456031688.0,6
1697456036692.0,6
1697456041697.0,6
1697456046700.0,6
1697456051705.0,6
1697456056708.0,6
1697456061710.0,6
1697456066715.0,6
1697456071720.0,6
1697456076723.0,7
1697456081728.0,7
1697456086730.0,6
1697456091730.0,6
1697456096734.0,6
1697456101739.0,6
1697456106742.0,7
1697456111747.0,7
1697456116749.0,6
1697456121751.0,6
1697456126757.0,7
1697456131762.0,7
1697456136764.0,7
1697456141769.0,7
1697456146771.0,6
1697456151771.0,6
1697456156776.0,6
1697456161782.0,7
1697456166783.0,6
1697456171788.0,6
1697456176792.0,7
1697456181793.0,6
1697456186798.0,6
1697456191803.0,6
1697456196806.0,7
1697456201810.0,6
1697456206814.0,7
1697456211813.0,6
1697456216818.0,7
1697456221823.0,7
1697456226824.0,6
1697456231829.0,6
1697456236832.0,6
1697456241835.0,7
1697456246839.0,6
1697456251845.0,7
1697456256847.0,6
1697456261852.0,6
1697456266856.0,7
1697456271856.0,7
1697456276860.0,7
1697456281865.0,7
1697456286867.0,6
1697456291873.0,6
1697456296875.0,6
1697456301878.0,7
1697456306883.0,6
1697456311888.0,6
1697456316891.0,7
1697456321895.0,6
1697456326898.0,6
1697456331899.0,7
1697456336903.0,6
1697456341909.0,7
1697456346911.0,6
1697456351915.0,6
1697456356919.0,7
1697456361921.0,7
1697456366926.0,7
1697456371930.0,6
1697456376933.0,6
1697456381939.0,7
1697456386942.0,7
1697456391942.0,7
1697456396946.0,7
1697456401951.0,7
1697456406952.0,6
1697456411957.0,6
1697456416961.0,7
1697456421963.0,7
1697456426968.0,7
1697456431973.0,6
1697456436975.0,7
