Temps,Temperature,Frequency,Cpu_usage,Cpu_memory,Cluster
1697218447.421,41.868,1800.0,4.0,10.4,cluster0
1697218447.924,42.355,1800.0,3.9,10.4,cluster0
1697218448.426,42.842,1800.0,4.0,10.4,cluster0
1697218448.929,42.355,1800.0,3.9,10.4,cluster0
1697218449.431,42.355,1800.0,5.0,10.4,cluster0
1697218449.937,41.868,600.0,4.0,10.4,cluster0
1697218450.442,42.355,800.0,5.0,10.4,cluster0
1697218450.945,43.329,1800.0,21.9,10.0,cluster0
1697218451.447,42.842,1800.0,34.0,10.3,cluster0
1697218451.95,42.355,1800.0,2.5,10.3,cluster0
1697218452.452,42.842,1800.0,3.5,10.3,cluster0
1697218452.955,42.842,1800.0,5.0,10.4,cluster0
1697218453.457,42.355,1800.0,6.9,10.4,cluster0
1697218453.96,43.329,1800.0,3.5,10.4,cluster0
1697218454.463,42.355,1800.0,4.0,10.4,cluster0
1697218454.965,42.842,1800.0,4.0,10.4,cluster0
1697218455.468,42.842,1800.0,3.9,10.4,cluster0
1697218455.973,42.842,600.0,3.5,10.4,cluster0
1697218456.478,41.868,700.0,4.0,10.4,cluster0
1697218456.982,42.355,1100.0,14.4,9.8,cluster0
1697218457.485,44.303,1800.0,32.7,10.3,cluster0
1697218457.988,42.842,1800.0,13.9,10.4,cluster0
1697218458.49,42.842,1800.0,4.0,10.4,cluster0
1697218458.993,43.816,1800.0,4.5,10.4,cluster0
1697218459.495,42.842,1800.0,4.0,10.4,cluster0
1697218459.998,43.329,1800.0,2.5,10.4,cluster0
1697218460.501,42.842,1800.0,2.0,10.4,cluster0
1697218461.003,42.842,1800.0,4.0,10.4,cluster0
1697218461.506,43.329,1800.0,3.0,10.4,cluster0
1697218462.008,43.816,1800.0,3.5,10.4,cluster0
1697218462.513,42.842,700.0,4.0,10.4,cluster0
1697218463.019,43.329,600.0,5.4,10.4,cluster0
1697218463.522,43.816,1800.0,28.4,10.2,cluster0
1697218464.025,43.329,1800.0,26.1,10.4,cluster0
1697218464.527,43.329,1800.0,3.5,10.4,cluster0
1697218465.03,42.842,1800.0,4.0,10.4,cluster0
1697218465.533,43.816,1800.0,4.0,10.4,cluster0
1697218466.035,43.329,1800.0,3.9,10.4,cluster0
1697218466.538,42.842,1800.0,2.5,10.4,cluster0
1697218467.04,43.329,1800.0,4.0,10.4,cluster0
1697218467.543,42.842,1800.0,3.5,10.4,cluster0
1697218468.045,42.842,1800.0,3.0,10.4,cluster0
1697218468.551,42.355,600.0,4.9,10.4,cluster0
1697218469.055,41.868,1800.0,12.8,9.4,cluster0
1697218469.559,43.329,1800.0,30.2,10.3,cluster0
1697218470.062,43.329,1800.0,17.1,10.4,cluster0
1697218470.564,43.329,1800.0,3.0,10.4,cluster0
1697218471.067,43.329,1800.0,4.0,10.4,cluster0
1697218471.569,44.303,1800.0,3.5,10.4,cluster0
1697218472.072,43.329,1800.0,3.0,10.4,cluster0
1697218472.575,42.842,1800.0,3.5,10.4,cluster0
1697218473.077,41.868,1800.0,4.5,10.4,cluster0
1697218473.58,42.355,1800.0,3.5,10.4,cluster0
1697218474.085,42.842,700.0,3.9,10.4,cluster0
1697218474.59,42.355,600.0,4.5,10.4,cluster0
1697218475.096,43.816,600.0,6.4,10.4,cluster0
1697218475.599,43.329,1800.0,28.7,10.2,cluster0
1697218476.102,44.79,1800.0,26.2,10.4,cluster0
1697218476.604,44.79,1800.0,2.5,10.4,cluster0
1697218477.107,43.329,1800.0,4.5,10.4,cluster0
1697218477.61,43.329,1800.0,4.0,10.4,cluster0
1697218478.112,43.329,1800.0,4.4,10.4,cluster0
1697218478.615,43.816,1800.0,3.5,10.4,cluster0
1697218479.117,43.816,1800.0,5.0,10.4,cluster0
1697218479.62,43.329,1800.0,4.5,10.4,cluster0
1697218480.122,42.842,1800.0,3.0,10.4,cluster0
1697218480.626,42.355,800.0,5.4,10.4,cluster0
1697218481.131,42.842,700.0,6.9,10.4,cluster0
1697218481.635,44.79,1800.0,22.0,10.1,cluster0
1697218482.137,42.842,1800.0,34.0,10.4,cluster0
1697218482.64,42.842,1800.0,3.5,10.4,cluster0
1697218483.143,42.842,1800.0,4.0,10.4,cluster0
1697218483.645,42.355,1800.0,4.5,10.4,cluster0
1697218484.148,43.329,1800.0,2.5,10.4,cluster0
1697218484.65,42.842,1800.0,4.0,10.4,cluster0
1697218485.153,42.842,1800.0,4.0,10.4,cluster0
1697218485.655,42.842,1800.0,3.0,10.4,cluster0
