Temps,Temperature,Frequency,Cpu_usage,Cpu_memory,Classe
1697227194.942,43.329,1800.0,0.0,10.4,normal
1697227195.445,44.303,1800.0,0.5,10.4,normal
1697227195.947,44.79,1800.0,0.5,10.4,normal
1697227196.45,44.79,1800.0,0.5,10.4,normal
1697227196.952,43.816,1800.0,0.0,10.4,normal
1697227197.455,42.842,1800.0,0.5,10.4,normal
1697227197.959,44.303,700.0,0.0,10.4,normal
1697227198.465,43.329,600.0,0.5,10.4,normal
1697227198.968,43.816,1800.0,11.9,9.9,normal
1697227199.473,45.277,1800.0,33.2,10.3,normal
1697227199.976,44.303,1800.0,1.5,10.3,normal
1697227200.478,43.816,1800.0,0.5,10.3,normal
1697227200.981,44.303,1800.0,0.0,10.3,normal
1697227201.484,44.303,1800.0,2.5,10.3,normal
1697227201.986,43.816,1800.0,0.5,10.3,normal
1697227202.488,44.303,1800.0,0.0,10.3,normal
1697227202.991,44.303,1800.0,0.0,10.3,normal
1697227203.493,42.842,1800.0,0.0,10.3,normal
1697227203.998,43.329,800.0,2.0,10.3,normal
1697227204.508,43.816,600.0,1.0,10.3,normal
1697227205.011,44.303,1800.0,9.5,9.7,normal
1697227205.514,45.277,1800.0,33.5,10.3,normal
1697227206.016,43.816,1800.0,2.5,10.4,normal
1697227206.519,44.303,1800.0,2.0,10.4,normal
1697227207.021,43.816,1800.0,0.0,10.4,normal
1697227207.524,43.816,1800.0,0.0,10.4,normal
1697227208.026,44.303,1800.0,0.0,10.4,normal
1697227208.528,43.329,1800.0,0.0,10.4,normal
1697227209.031,44.303,1800.0,0.5,10.4,normal
1697227209.533,43.816,1800.0,0.0,10.4,normal
1697227210.038,44.303,600.0,0.0,10.4,normal
1697227210.544,43.329,600.0,0.5,10.4,normal
1697227211.05,43.329,1800.0,9.5,9.8,normal
1697227211.553,46.251,1800.0,34.3,10.4,normal
1697227212.055,43.329,1800.0,3.5,10.4,normal
1697227212.558,44.79,1800.0,0.0,10.4,normal
1697227213.06,44.79,1800.0,0.0,10.4,normal
1697227213.562,43.329,1800.0,0.0,10.4,normal
